               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026278,              0.0381,           0.0060835,             0.97784,             0.97934,             0.98424,             0.74287,            0.023685,            0.032902,            0.003542,              0.0856,              0.0016,              0.0016
                   1,            0.028719,            0.039089,           0.0062032,             0.97864,             0.97724,             0.98296,             0.70542,            0.027862,             0.03455,           0.0036566,            0.070287,           0.0032869,           0.0032869
                   2,            0.030172,            0.039216,           0.0062905,             0.97063,              0.9755,             0.98152,             0.71768,            0.026835,            0.033583,           0.0037411,             0.05496,           0.0049604,           0.0049604
                   3,            0.032577,            0.040184,           0.0064947,             0.97464,             0.98131,             0.98338,             0.67698,            0.028921,            0.034073,           0.0039607,             0.03962,           0.0066204,           0.0066204
                   4,            0.034226,            0.041693,           0.0069669,             0.97277,             0.97461,             0.98017,             0.70451,            0.026811,            0.034245,           0.0041573,            0.024267,           0.0082669,           0.0082669
                   5,            0.035273,            0.041559,           0.0067619,             0.96721,             0.98238,             0.98331,             0.72682,            0.026615,            0.034029,           0.0043149,            0.009802,            0.009802,            0.009802
                   6,            0.034401,            0.043326,           0.0072516,             0.96735,             0.98331,             0.98237,             0.70894,            0.026824,            0.034512,           0.0044881,            0.009802,            0.009802,            0.009802
                   7,             0.03479,            0.042444,           0.0072344,             0.97317,             0.97711,             0.98194,             0.71205,            0.026614,             0.03426,           0.0045151,           0.0097624,           0.0097624,           0.0097624
                   8,            0.033198,            0.042304,           0.0072291,             0.97734,             0.97792,             0.98053,             0.70492,            0.026055,            0.034157,           0.0045415,           0.0097228,           0.0097228,           0.0097228
                   9,            0.031755,            0.040754,           0.0068564,             0.97167,             0.97831,             0.98047,             0.70601,            0.025993,            0.034046,           0.0043542,           0.0096832,           0.0096832,           0.0096832
                  10,            0.033504,            0.042082,           0.0070987,             0.97787,             0.97736,             0.97932,             0.69753,            0.026636,            0.034605,           0.0043596,           0.0096436,           0.0096436,           0.0096436
                  11,            0.032192,            0.040607,            0.007083,             0.97723,             0.98128,             0.98557,             0.72359,            0.025013,            0.034012,           0.0043963,            0.009604,            0.009604,            0.009604
                  12,            0.030993,            0.041672,           0.0066503,             0.96981,             0.97978,             0.98045,             0.70813,            0.025902,            0.034376,           0.0042504,           0.0095644,           0.0095644,           0.0095644
                  13,            0.030716,            0.041178,           0.0070727,             0.97954,             0.98404,             0.98245,             0.72079,            0.025437,            0.033695,           0.0042177,           0.0095248,           0.0095248,           0.0095248
                  14,            0.030556,            0.041134,           0.0066848,             0.97341,             0.97443,             0.98424,             0.72461,            0.025282,            0.033653,           0.0041687,           0.0094852,           0.0094852,           0.0094852
                  15,             0.03054,            0.041088,           0.0066167,             0.97643,             0.97961,             0.98154,             0.73076,            0.025023,            0.033478,           0.0041668,           0.0094456,           0.0094456,           0.0094456
                  16,            0.030747,             0.04053,           0.0065108,             0.97313,             0.97901,             0.98182,             0.71798,            0.025965,            0.034489,           0.0041466,            0.009406,            0.009406,            0.009406
                  17,             0.03156,            0.041033,            0.006754,             0.97881,             0.97626,             0.98405,             0.72371,            0.025115,            0.033173,           0.0041608,           0.0093664,           0.0093664,           0.0093664
                  18,            0.029928,             0.04116,            0.006614,             0.98145,             0.98098,             0.98445,             0.73064,            0.024959,            0.033688,           0.0042164,           0.0093268,           0.0093268,           0.0093268
                  19,            0.030664,            0.040473,           0.0066541,             0.97519,             0.97677,             0.98028,             0.72941,            0.024391,            0.033228,           0.0040101,           0.0092872,           0.0092872,           0.0092872
                  20,            0.029035,             0.04027,           0.0066418,             0.98035,             0.97515,             0.98344,             0.72925,            0.024919,            0.033472,            0.004155,           0.0092476,           0.0092476,           0.0092476
                  21,            0.029641,             0.04011,           0.0065602,             0.97383,             0.97615,             0.98303,              0.7222,            0.025207,            0.034204,           0.0039308,            0.009208,            0.009208,            0.009208
                  22,            0.028838,            0.039721,           0.0065182,             0.97429,             0.97903,             0.98163,             0.72809,            0.024614,            0.033062,           0.0040822,           0.0091684,           0.0091684,           0.0091684
                  23,            0.029863,            0.040774,           0.0069184,             0.97133,             0.98139,             0.98158,             0.72552,            0.025075,            0.033146,           0.0040109,           0.0091288,           0.0091288,           0.0091288
                  24,            0.029425,            0.040503,           0.0064377,             0.97224,             0.97631,             0.98184,             0.73246,            0.024341,            0.033075,           0.0039564,           0.0090892,           0.0090892,           0.0090892
                  25,            0.028899,            0.039236,           0.0065731,             0.97498,             0.97729,             0.98254,             0.73409,            0.024303,            0.032995,           0.0039227,           0.0090496,           0.0090496,           0.0090496
                  26,            0.029389,            0.040249,           0.0066202,             0.97779,               0.973,             0.98175,             0.72531,            0.024501,            0.032719,           0.0039607,             0.00901,             0.00901,             0.00901
                  27,            0.028644,             0.04009,           0.0064225,             0.97472,             0.98207,             0.98072,             0.73536,            0.024082,            0.033092,           0.0039103,           0.0089704,           0.0089704,           0.0089704
                  28,            0.028517,            0.038865,           0.0061192,             0.97677,             0.97378,             0.98193,             0.73202,            0.024105,            0.033148,           0.0039073,           0.0089308,           0.0089308,           0.0089308
                  29,            0.029287,            0.039023,           0.0062609,             0.97464,             0.98149,             0.98362,             0.73288,            0.024678,            0.032885,           0.0038425,           0.0088912,           0.0088912,           0.0088912
                  30,            0.028818,            0.038963,           0.0063855,             0.97291,             0.97748,             0.98229,             0.72842,            0.024364,            0.033024,           0.0039799,           0.0088516,           0.0088516,           0.0088516
                  31,            0.028161,            0.038812,           0.0064051,             0.97636,             0.98191,             0.98131,             0.74284,            0.024074,            0.032742,           0.0037239,            0.008812,            0.008812,            0.008812
                  32,            0.028141,            0.038327,           0.0062595,             0.97716,             0.97824,             0.98228,             0.72563,            0.024124,            0.033409,           0.0038107,           0.0087724,           0.0087724,           0.0087724
                  33,            0.027897,            0.037753,           0.0063643,             0.97671,             0.98033,             0.98315,              0.7406,             0.02366,            0.032898,           0.0038295,           0.0087328,           0.0087328,           0.0087328
                  34,            0.027624,             0.03868,           0.0063032,              0.9709,             0.97781,             0.98029,             0.73304,            0.024101,            0.033644,           0.0037634,           0.0086932,           0.0086932,           0.0086932
                  35,            0.028211,            0.039935,           0.0063028,             0.97405,             0.97678,              0.9825,             0.73589,            0.023769,            0.032995,            0.003935,           0.0086536,           0.0086536,           0.0086536
                  36,             0.02729,            0.038946,           0.0061699,             0.97688,               0.977,             0.98128,             0.73778,            0.023609,            0.033607,           0.0039499,            0.008614,            0.008614,            0.008614
                  37,            0.028303,            0.038648,           0.0061438,             0.97641,             0.97792,              0.9817,             0.73827,            0.023769,            0.033039,           0.0037973,           0.0085744,           0.0085744,           0.0085744
                  38,            0.027487,            0.038225,           0.0061695,             0.97449,             0.97591,             0.98149,             0.73412,             0.02397,            0.033613,           0.0041403,           0.0085348,           0.0085348,           0.0085348
                  39,            0.028225,            0.039142,           0.0061618,             0.98119,             0.98099,               0.981,             0.73768,            0.023454,            0.032925,           0.0038185,           0.0084952,           0.0084952,           0.0084952
                  40,            0.026827,            0.037119,           0.0060283,             0.97106,             0.97858,             0.98099,             0.73857,            0.023414,            0.032742,           0.0037945,           0.0084556,           0.0084556,           0.0084556
                  41,            0.026447,            0.037055,           0.0060538,              0.9746,             0.97688,             0.97914,             0.73616,            0.023573,            0.032961,           0.0041783,            0.008416,            0.008416,            0.008416
                  42,            0.027039,            0.037091,           0.0057379,             0.97552,             0.98052,             0.98043,             0.73276,            0.024001,            0.032978,           0.0036812,           0.0083764,           0.0083764,           0.0083764
                  43,            0.027241,            0.038224,           0.0061731,             0.97579,             0.97879,             0.98194,             0.73683,            0.023529,            0.032921,           0.0037304,           0.0083368,           0.0083368,           0.0083368
                  44,            0.026687,            0.037983,           0.0060303,             0.97227,              0.9788,             0.98114,             0.73826,            0.023331,            0.032408,           0.0038489,           0.0082972,           0.0082972,           0.0082972
                  45,            0.026798,            0.037154,           0.0060715,               0.974,             0.97452,             0.98141,              0.7416,            0.023126,            0.032677,           0.0037291,           0.0082576,           0.0082576,           0.0082576
                  46,            0.027309,             0.03754,           0.0061747,             0.97762,             0.97797,              0.9839,             0.74221,              0.0232,            0.032675,           0.0036955,            0.008218,            0.008218,            0.008218
                  47,            0.026924,            0.036913,           0.0061202,             0.97048,             0.97429,             0.98134,             0.74193,            0.023092,            0.032284,           0.0037229,           0.0081784,           0.0081784,           0.0081784
                  48,            0.027219,            0.037504,           0.0060029,             0.97131,              0.9775,             0.98241,             0.73917,            0.023419,            0.032219,           0.0036815,           0.0081388,           0.0081388,           0.0081388
                  49,            0.027014,            0.038421,           0.0059424,             0.97562,             0.98159,             0.98116,             0.74081,            0.023288,            0.032471,           0.0035456,           0.0080992,           0.0080992,           0.0080992
                  50,            0.026882,            0.037631,           0.0059321,             0.97802,             0.96561,             0.97743,                0.74,            0.023276,            0.032562,           0.0037853,           0.0080596,           0.0080596,           0.0080596
                  51,            0.025682,            0.036826,           0.0056372,              0.9751,              0.9806,             0.98158,             0.73896,            0.023286,            0.032816,           0.0035326,             0.00802,             0.00802,             0.00802
                  52,            0.026654,            0.036918,             0.00599,             0.97225,             0.97532,             0.97962,             0.74679,            0.023132,            0.032785,           0.0036316,           0.0079804,           0.0079804,           0.0079804
                  53,            0.026634,            0.036992,           0.0059389,             0.97109,             0.97656,             0.98175,             0.74148,            0.023141,            0.032309,           0.0038644,           0.0079408,           0.0079408,           0.0079408
                  54,            0.026315,            0.036733,           0.0056399,             0.97623,             0.97985,             0.98123,             0.74114,            0.023026,             0.03278,           0.0035176,           0.0079012,           0.0079012,           0.0079012
                  55,             0.02624,            0.036432,           0.0059032,             0.98016,             0.97921,             0.98307,             0.74906,            0.023069,            0.032238,           0.0035687,           0.0078616,           0.0078616,           0.0078616
                  56,            0.025888,            0.036723,           0.0057557,             0.97154,             0.97895,             0.98015,              0.7477,            0.023485,            0.033482,           0.0036044,            0.007822,            0.007822,            0.007822
                  57,            0.025758,            0.037059,           0.0057211,              0.9745,             0.97485,             0.98163,             0.75095,            0.023362,            0.033142,           0.0035802,           0.0077824,           0.0077824,           0.0077824
                  58,            0.026279,            0.037042,           0.0059024,             0.97527,             0.97434,             0.98169,             0.74055,            0.023487,            0.032833,           0.0037936,           0.0077428,           0.0077428,           0.0077428
                  59,            0.026195,            0.036145,           0.0056184,             0.97215,             0.97635,             0.97979,             0.73475,            0.023323,            0.033417,           0.0036177,           0.0077032,           0.0077032,           0.0077032
                  60,            0.025956,            0.036107,           0.0059142,             0.97477,             0.97974,             0.98148,             0.74237,            0.023546,            0.033476,           0.0034362,           0.0076636,           0.0076636,           0.0076636
                  61,            0.026307,            0.037033,            0.005775,              0.9772,             0.97639,             0.98182,             0.74216,             0.02358,             0.03348,           0.0039492,            0.007624,            0.007624,            0.007624
                  62,            0.025897,            0.037373,           0.0057613,             0.97801,             0.97644,             0.98145,             0.74833,            0.023655,            0.033781,           0.0038759,           0.0075844,           0.0075844,           0.0075844
