               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11436,            0.045654,            0.040985,           0.0030158,             0.22222,           0.0021658,          0.00031191,            0.099764,            0.037782,            0.035992,              0.0883,              0.0013,              0.0013
                   1,            0.096094,            0.049733,            0.034752,           0.0056998,             0.38148,           0.0092597,           0.0026875,            0.081112,            0.039441,            0.029315,            0.075673,           0.0026733,           0.0026733
                   2,            0.078678,             0.05904,            0.025364,           0.0090234,             0.83333,            0.014744,            0.003839,            0.082544,            0.030503,            0.024372,            0.063019,           0.0040188,           0.0040188
                   3,            0.074767,            0.046792,            0.021632,             0.41197,             0.34815,             0.10848,            0.037402,            0.067819,             0.03792,            0.024512,            0.050337,           0.0053367,           0.0053367
                   4,            0.072832,            0.043032,            0.019704,             0.53117,             0.33704,               0.163,            0.037565,            0.085307,            0.028706,            0.025168,            0.037627,           0.0066268,           0.0066268
                   5,            0.071777,            0.041958,            0.017271,             0.58161,             0.47778,             0.31972,              0.1146,            0.074384,            0.023597,            0.020066,            0.024889,           0.0078891,           0.0078891
                   6,            0.073353,            0.035742,            0.014263,             0.58139,             0.36667,             0.29328,              0.0923,            0.072525,            0.020693,            0.018002,            0.012124,           0.0091238,           0.0091238
                   7,            0.074278,            0.034905,            0.014002,             0.65875,             0.35926,             0.28119,             0.10699,            0.073351,            0.018797,              0.0126,            0.009307,            0.009307,            0.009307
                   8,            0.071615,            0.034065,            0.012656,             0.60656,             0.36491,             0.27309,            0.094599,              0.0656,            0.018447,            0.012214,            0.009307,            0.009307,            0.009307
                   9,            0.063144,            0.034206,            0.012378,             0.60548,             0.44699,             0.33406,             0.15631,            0.055418,            0.018282,             0.01176,            0.009208,            0.009208,            0.009208
                  10,            0.063305,             0.03019,           0.0089493,             0.65585,             0.37407,             0.33392,             0.10646,            0.062943,             0.01744,           0.0098632,            0.009109,            0.009109,            0.009109
                  11,             0.06117,            0.031081,           0.0098784,             0.72347,             0.43115,             0.41899,             0.16837,            0.052364,            0.017343,            0.011871,             0.00901,             0.00901,             0.00901
                  12,            0.054574,            0.032313,           0.0088012,             0.60737,             0.46296,             0.38995,             0.14981,             0.05624,            0.016993,            0.012632,            0.008911,            0.008911,            0.008911
                  13,            0.058006,            0.034676,           0.0076393,              0.6195,             0.48519,             0.46411,             0.24103,            0.045424,            0.017667,            0.014208,            0.008812,            0.008812,            0.008812
                  14,            0.056098,            0.031255,           0.0082074,             0.71452,             0.41797,             0.36138,            0.091491,            0.062987,            0.017622,            0.013304,            0.008713,            0.008713,            0.008713
                  15,            0.053063,            0.024798,           0.0080674,             0.77127,                 0.5,             0.48059,             0.14969,            0.059328,            0.016803,           0.0087135,            0.008614,            0.008614,            0.008614
                  16,            0.051716,            0.031386,           0.0070625,             0.74196,              0.4963,              0.4959,             0.26217,            0.043228,            0.015961,           0.0081671,            0.008515,            0.008515,            0.008515
                  17,            0.049444,            0.030389,           0.0058324,             0.73898,             0.58889,             0.53168,             0.29707,            0.041881,            0.015435,           0.0088125,            0.008416,            0.008416,            0.008416
                  18,            0.047384,            0.028101,           0.0067029,             0.77287,             0.53333,             0.49205,             0.17111,            0.060074,             0.01653,           0.0072492,            0.008317,            0.008317,            0.008317
                  19,            0.048028,            0.028053,           0.0064771,             0.83156,             0.54444,             0.59236,             0.33497,            0.040573,            0.015382,           0.0073794,            0.008218,            0.008218,            0.008218
